,author,title,year,Name,Surname
617,Зверков О.А.,"Семейства белков, кодируемых в пластомах Chlorophyta, Euglenozoa и Rhizaria ",2012,О.А.,Зверков
618,Селиверстов А.В.,"Семейства белков, кодируемых в пластомах Chlorophyta, Euglenozoa и Rhizaria ",2012,А.В.,Селиверстов
619,Любецкий В.А.,"Семейства белков, кодируемых в пластомах Chlorophyta, Euglenozoa и Rhizaria ",2012,В.А.,Любецкий
620,Зубанков Д.A.,Алгоритмические аспекты реконструкции CRISPR-кассет ,2012,Д.A.,Зубанков
621,Липнягов А.И.,Алгоритмические аспекты реконструкции CRISPR-кассет ,2012,А.И.,Липнягов
622,Кобозева И.Г.,Кодирование трехмерными обобщенными кодами с локализацией ошибок ,2012,И.Г.,Кобозева
623,Зяблов В.В.,Кодирование трехмерными обобщенными кодами с локализацией ошибок ,2012,В.В.,Зяблов
624,Иванов Ф.И.,"Оценка минимальной длины циклов квазициклических регулярных кодов с малой плотностью проверок на четность, основанных на матрицах перестановок ",2012,Ф.И.,Иванов
625,Зяблов В.В.,"Оценка минимальной длины циклов квазициклических регулярных кодов с малой плотностью проверок на четность, основанных на матрицах перестановок ",2012,В.В.,Зяблов
626,Потапов В.Г.,"Оценка минимальной длины циклов квазициклических регулярных кодов с малой плотностью проверок на четность, основанных на матрицах перестановок ",2012,В.Г.,Потапов
627,Казенников А.О.,Сравнительный анализ методов сокращения линейных моделей машинного обучения для задач автоматической обработки текстов ,2012,А.О.,Казенников
628,Казнадзей А.Д.,"Разнообразие геномных локусов бактериального углеводного метаболизма и паттерны ко-локализации семейств соответствющих белков, принадлежащих разным функциональным классам. ",2012,А.Д.,Казнадзей
629,Шелякин П.В.,"Разнообразие геномных локусов бактериального углеводного метаболизма и паттерны ко-локализации семейств соответствющих белков, принадлежащих разным функциональным классам. ",2012,П.В.,Шелякин
630,Калинина А.С.,Супердеревья пластид хлорофитной ветви водорослей и животных Ecdysozoa ,2012,А.С.,Калинина
631,Михайлов К.В.,Супердеревья пластид хлорофитной ветви водорослей и животных Ecdysozoa ,2012,К.В.,Михайлов
632,Селиверстов А.В.,Супердеревья пластид хлорофитной ветви водорослей и животных Ecdysozoa ,2012,А.В.,Селиверстов
633,Любецкий В.А.,Супердеревья пластид хлорофитной ветви водорослей и животных Ecdysozoa ,2012,В.А.,Любецкий
634,Капитонов М.А.,Вертикальная стойка и подъем/спуск на ступеньку у детей с ранним детским аутизмом ,2012,М.А.,Капитонов
635,Максимова Е.М.,Вертикальная стойка и подъем/спуск на ступеньку у детей с ранним детским аутизмом ,2012,Е.М.,Максимова
636,Талис В.Л.,Вертикальная стойка и подъем/спуск на ступеньку у детей с ранним детским аутизмом ,2012,В.Л.,Талис
637,Карпов Д.С.,Дрожжевой транскрипционный регулятор протеасомных генов - Rpn4 является репрессором ТАТА-зависимых генов и активатором ТАТА-независимых генов ,2012,Д.С.,Карпов
638,Киритченко В.,Convex Geometry and Representation Theory ,2012,В.,Киритченко
639,Сафонов А.А.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012,А.А.,Сафонов
640,Ляхов А.И.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012,А.И.,Ляхов
641,Хоров Е.М.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012,Е.М.,Хоров
642,Кирьянов А.Г.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012,А.Г.,Кирьянов
643,Некрасов П.О.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012,П.О.,Некрасов
644,Платов Д.А.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012,Д.А.,Платов
645,Островский Д.М.,"Сравнение качества соединений, открываемых протоколами MPM и NHDP ",2012,Д.М.,Островский
646,Хоров Е.М.,"Сравнение качества соединений, открываемых протоколами MPM и NHDP ",2012,Е.М.,Хоров
647,Кирьянов А.Г.,"Сравнение качества соединений, открываемых протоколами MPM и NHDP ",2012,А.Г.,Кирьянов
648,Ковалевская Д.И.,Системы троек Штейнера малого ранга и совершенные двоичные коды ,2012,Д.И.,Ковалевская
649,Соловьёва Ф.И.,Системы троек Штейнера малого ранга и совершенные двоичные коды ,2012,Ф.И.,Соловьёва
650,Филимонова Е.С.,Системы троек Штейнера малого ранга и совершенные двоичные коды ,2012,Е.С.,Филимонова
651,Комаров Г.А.,Возможный алгебраический подход к изучению задачи 3-SAT ,2012,Г.А.,Комаров
652,Кононенко Д.С.,Методы аппроксимации обратной ковариационной матрицы для эффективной оптимизации правдоподобия гауссовского процесса ,2012,Д.С.,Кононенко
653,Котов А.А.,Построение устойчивых признаков для алгоритма Виолы и Джонса в задаче классификации транспортных средств ,2012,А.А.,Котов
654,Усилин С.,Построение устойчивых признаков для алгоритма Виолы и Джонса в задаче классификации транспортных средств ,2012,С.,Усилин
655,Николаев Д.П.,Построение устойчивых признаков для алгоритма Виолы и Джонса в задаче классификации транспортных средств ,2012,Д.П.,Николаев
656,Котов А.А.,"Прослеживание в видеопотоке объектов, содержащих множество концентрических дуг ",2012,А.А.,Котов
657,Николаев Д.П.,"Прослеживание в видеопотоке объектов, содержащих множество концентрических дуг ",2012,Д.П.,Николаев
658,Красилов А.Н.,Аналитическая модель взаимодействия механизмов EDCA и MCCA в сетях 802.11s ,2012,А.Н.,Красилов
659,Ляхов А.И.,Аналитическая модель взаимодействия механизмов EDCA и MCCA в сетях 802.11s ,2012,А.И.,Ляхов
660,Мороз Ю.И.,Аналитическая модель взаимодействия механизмов EDCA и MCCA в сетях 802.11s ,2012,Ю.И.,Мороз
661,Швец Е.А.,Анализ методов передачи потоковых данных с использованием MCCA ,2012,Е.А.,Швец
662,Красилов А.Н.,Анализ методов передачи потоковых данных с использованием MCCA ,2012,А.Н.,Красилов
663,Крещук А.А.,Некоторые статистические демодуляторы для частотно позиционного кодирования с быстрой перестройкой частот ,2012,А.А.,Крещук
664,Потапов В.Г.,Некоторые статистические демодуляторы для частотно позиционного кодирования с быстрой перестройкой частот ,2012,В.Г.,Потапов
665,Курмангалиев Е.Ж.,Полиморфизмы в инвариантных динуклеотидах сайтов сплайсинга человека ,2012,Е.Ж.,Курмангалиев
666,Сутормин Р.,Полиморфизмы в инвариантных динуклеотидах сайтов сплайсинга человека ,2012,Р.,Сутормин
667,Науменко С.А.,Полиморфизмы в инвариантных динуклеотидах сайтов сплайсинга человека ,2012,С.А.,Науменко
668,Толмачева Е.А.,Стресс и абсансы в генетической модели эпилепсии у крыс ,2012,Е.А.,Толмачева
669,Oitzl M.,Стресс и абсансы в генетической модели эпилепсии у крыс ,2012,M.,Oitzl
670,Luijtelaar G.,Стресс и абсансы в генетической модели эпилепсии у крыс ,2012,G.,Luijtelaar
671,Фаворов А.В.,Точный тест на эпистатическое взаимодействие двух биаллельных генов ,2012,А.В.,Фаворов
672,Lvovs D.,Точный тест на эпистатическое взаимодействие двух биаллельных генов ,2012,D.,Lvovs
673,Лавыш Д.Г.,"Поиск промотора для ECF ? - фактора, закодированного в геноме бактериофага Salmonella Newport 7-11 ",2012,Д.Г.,Лавыш
674,Равчеев Д.А.,"Поиск промотора для ECF ? - фактора, закодированного в геноме бактериофага Salmonella Newport 7-11 ",2012,Д.А.,Равчеев
675,Северинов К.В.,"Поиск промотора для ECF ? - фактора, закодированного в геноме бактериофага Salmonella Newport 7-11 ",2012,К.В.,Северинов
676,Лалаян В.Ю.,Количественное исследование активности центральных зрительных нейронов лягушки в зависимости от угловой скорости движения внешнего раздражителя ,2012,В.Ю.,Лалаян
677,Толмачева Е.А.,Количественное исследование активности центральных зрительных нейронов лягушки в зависимости от угловой скорости движения внешнего раздражителя ,2012,Е.А.,Толмачева
678,Бастаков В.А.,Количественное исследование активности центральных зрительных нейронов лягушки в зависимости от угловой скорости движения внешнего раздражителя ,2012,В.А.,Бастаков
679,Лежнина К.В.,Поиск адаптивной эволюции после событий реассортации в генах вируса гриппа А типа H3N2 ,2012,К.В.,Лежнина
680,Неверов А.Д.,Поиск адаптивной эволюции после событий реассортации в генах вируса гриппа А типа H3N2 ,2012,А.Д.,Неверов
681,Лейн С.А.,Реконструкция транскрипционной регуляции методами сравнительной геномики в археях порядка Sulfolobales ,2012,С.А.,Лейн
682,Родионов Д.А.,Реконструкция транскрипционной регуляции методами сравнительной геномики в археях порядка Sulfolobales ,2012,Д.А.,Родионов
683,Леушкин Е.В.,Insertion-biased gene conversion for short indels ,2012,Е.В.,Леушкин
684,Лопатина Е.В.,Исследование эволюции геномов бактерий рода Burkholderia ,2012,Е.В.,Лопатина
685,Чуклина Е.,Полногеномная карта стартов транскрипции азотфиксирующей симбиотической бактерии Bradyrhizobium japonicum USDA110 ,2012,Е.,Чуклина
686,Любимов Н.А.,Полногеномная карта стартов транскрипции азотфиксирующей симбиотической бактерии Bradyrhizobium japonicum USDA110 ,2012,Н.А.,Любимов
687,Юргенсон А.Н.,Анализ взаимодействия алгоритмов многоадресной маршрутизации и методов передачи в беспроводной сети ,2012,А.Н.,Юргенсон
688,Соколова О.Д.,Анализ взаимодействия алгоритмов многоадресной маршрутизации и методов передачи в беспроводной сети ,2012,О.Д.,Соколова
689,Сафонов А.А.,Анализ взаимодействия алгоритмов многоадресной маршрутизации и методов передачи в беспроводной сети ,2012,А.А.,Сафонов
690,Ляхов А.И.,Анализ взаимодействия алгоритмов многоадресной маршрутизации и методов передачи в беспроводной сети ,2012,А.И.,Ляхов
691,Тимофеева Т.Н.,Влияние возбуждения дальней периферии рецептивного поля детекторов ориентированных линий на их центральную реакцию ,2012,Т.Н.,Тимофеева
692,Максимова Е.М.,Влияние возбуждения дальней периферии рецептивного поля детекторов ориентированных линий на их центральную реакцию ,2012,Е.М.,Максимова
693,Максимов В.В.,Влияние возбуждения дальней периферии рецептивного поля детекторов ориентированных линий на их центральную реакцию ,2012,В.В.,Максимов
694,Максимов Ю.В.,Эффективная реализация некоторых классов булевых функций дизъюнктивными нормальными формами ,2012,Ю.В.,Максимов
695,Степанькова Е.И.,Классификация люминесцирующих объектов в ультрафиолетовом освещении в задачах проверки подлинности документов ,2012,Е.И.,Степанькова
696,Телятников Р.,Классификация люминесцирующих объектов в ультрафиолетовом освещении в задачах проверки подлинности документов ,2012,Р.,Телятников
697,Протосавицкий А.,Классификация люминесцирующих объектов в ультрафиолетовом освещении в задачах проверки подлинности документов ,2012,А.,Протосавицкий
698,Матусевич Е.,Классификация люминесцирующих объектов в ультрафиолетовом освещении в задачах проверки подлинности документов ,2012,Е.,Матусевич
699,Солдатов Р.,"Статистические методы геномного анализа, основанные на использовании диффузионной модели ",2012,Р.,Солдатов
700,Миронов А.А.,"Статистические методы геномного анализа, основанные на использовании диффузионной модели ",2012,А.А.,Миронов
701,Ставровская Е.Д.,Вычисление корреляции между двумя разметками последовательности ДНК с помощью быстрого преобразования Фурье ,2012,Е.Д.,Ставровская
702,Миронов А.А.,Вычисление корреляции между двумя разметками последовательности ДНК с помощью быстрого преобразования Фурье ,2012,А.А.,Миронов
703,Фаворов А.В.,Вычисление корреляции между двумя разметками последовательности ДНК с помощью быстрого преобразования Фурье ,2012,А.В.,Фаворов
704,Червонцева З.С.,Предсказание сайтов связывания транскрипционных факторов в геномах Entherobacteria с помощью алгоритма Up-Down ,2012,З.С.,Червонцева
705,Ставровская Е.Д.,Предсказание сайтов связывания транскрипционных факторов в геномах Entherobacteria с помощью алгоритма Up-Down ,2012,Е.Д.,Ставровская
706,Миронов А.А.,Предсказание сайтов связывания транскрипционных факторов в геномах Entherobacteria с помощью алгоритма Up-Down ,2012,А.А.,Миронов
707,Мухина В.С.,Гены цианобактериального происхождения в геномах фотосинтезирующих эукариот ,2012,В.С.,Мухина
708,Сараев А.,Выделение графических примитивов для анализа структуры документа на примере локализации печатей ,2012,А.,Сараев
709,Николаев Д.П.,Выделение графических примитивов для анализа структуры документа на примере локализации печатей ,2012,Д.П.,Николаев
710,Огнивов В.В.,Влияние положения головы на восприятие светотени ,2012,В.В.,Огнивов
711,Рожкова Г.,Влияние положения головы на восприятие светотени ,2012,Г.,Рожкова
712,Опарина Н.Ю.,Сравнительный анализ цитирований биомедицинских публикаций в журналах с открытым доступом опубликованных в течение пяти лет ,2012,Н.Ю.,Опарина
713,Осипов Д.C.,"О вероятности ошибки в системе множественного доступа, использующей сигнально-кодовую конструкцию на базе МДР кодов, динамически выделяемые частотные поддиапазоны и некогерентный приемник по максимуму правдоподобия, в условиях воздействия следящих помех. ",2012,Д.C.,Осипов
714,Панин И.И.,Подходы к нахождению дисперсии оценок значимости признаков в задаче глобального анализа чувствительности ,2012,И.И.,Панин
715,Приходько П.В.,Подходы к нахождению дисперсии оценок значимости признаков в задаче глобального анализа чувствительности ,2012,П.В.,Приходько
716,Панов В.А.,Статистическое оценивание активности прыжков для процессов Леви с изменяющимся временем ,2012,В.А.,Панов
717,Тужиков А.,Филогенетический анализ с использованием не аннотированных нуклеотидных данных ,2012,А.,Тужиков
718,Панчин А.Ю.,Филогенетический анализ с использованием не аннотированных нуклеотидных данных ,2012,А.Ю.,Панчин
719,Панчин Ю.В.,Филогенетический анализ с использованием не аннотированных нуклеотидных данных ,2012,Ю.В.,Панчин
720,Перемячкина С.Ю.,Метод структурной организации медицинской информации ,2012,С.Ю.,Перемячкина
721,Петроченков В.В.,Морфологическая разметка русскоязычных текстов с помощью теггера на основе SVM ,2012,В.В.,Петроченков
722,Поляков Н.Л.,О клоновом подходе к математическим проблемам коллективного выбора ,2012,Н.Л.,Поляков
723,Попова А.,Связь локализации генов на лидирующей и запаздывающей цепи бактериальных геномов с их функциональными и эволюционными свойствами ,2012,А.,Попова
724,Постников В.В.,Два подхода к поиску точек схода на перспективно искаженных изображениях ,2012,В.В.,Постников
725,Соколов В.В.,Два подхода к поиску точек схода на перспективно искаженных изображениях ,2012,В.В.,Соколов
726,Шешкус А.В.,Два подхода к поиску точек схода на перспективно искаженных изображениях ,2012,А.В.,Шешкус
727,Храмеева Е.Е.,Регуляция сплайсинга с помощью белка hnRNPL ,2012,Е.Е.,Храмеева
728,Rossbach O.,Регуляция сплайсинга с помощью белка hnRNPL ,2012,O.,Rossbach
729,Hung L.,Регуляция сплайсинга с помощью белка hnRNPL ,2012,L.,Hung
730,Филченков А.А.,Выявление ацикличности вторичной структуры алгебраической байесовской сети на основе подсчета числа ее ребер ,2012,А.А.,Филченков
731,Сироткин А.В.,Выявление ацикличности вторичной структуры алгебраической байесовской сети на основе подсчета числа ее ребер ,2012,А.В.,Сироткин
732,Смирнов Е.,Catalan-Hankel determinants and Schubert polynomials ,2012,Е.,Смирнов
733,Стрельцов Г.А.,Применение метода l_1 оптимизации к задачам выделения гармонических сигналов из шума ,2012,Г.А.,Стрельцов
734,Ступников А.И.,Уточнение карты генов Trypanosoma brucei ,2012,А.И.,Ступников
735,Храмеева Е.Е.,Уточнение карты генов Trypanosoma brucei ,2012,Е.Е.,Храмеева
736,Суворова И.А.,Исследование сайтов связывания и их окружения для транскрипционных факторов семейства GntR ,2012,И.А.,Суворова
737,Тиморин В.,Cut and semi-conjugate ,2012,В.,Тиморин
738,Цитович И.И.,Анализ вероятности потерь при обслуживании трафика мультимедийного ресурса ,2012,И.И.,Цитович
739,Титов И.,Анализ вероятности потерь при обслуживании трафика мультимедийного ресурса ,2012,И.,Титов
740,Трефилов М.П.,Сравнение заплетенных сверточных кодов блокового типа (ЗСКБТ) с турбо-кодами ,2012,М.П.,Трефилов
741,Фейзханов Р.У.,Поиск многоадресного маршрута для голосовых потоков в самоорганизующихся беспроводных сетях ,2012,Р.У.,Фейзханов
742,Цыганова А.М.,Поиск многоадресного маршрута для голосовых потоков в самоорганизующихся беспроводных сетях ,2012,А.М.,Цыганова
743,Филаретов В.А.,Модель ABCDE и формирование внешних кругов цветка ,2012,В.А.,Филаретов
744,Фролова Т.,Описание Синтаксического Отсутствия в корпусах СинТагРус и ХАНКО ,2012,Т.,Фролова
745,Ялалетдинов А.Д.,Использование экстремальных эллипсоидов в задачах о представлении сжатых данных ,2012,А.Д.,Ялалетдинов
746,Чепыжов В.В.,Использование экстремальных эллипсоидов в задачах о представлении сжатых данных ,2012,В.В.,Чепыжов
747,Шелякин П.В.,Поиск и классификация сайтов связывания сигма факторов  Clostridium difficile ,2012,П.В.,Шелякин
748,Шестаков Л.С.,Сравнительный анализ изменчивости различных элементов сигналов ухаживания трех видов сверчков рода Gryllus ,2012,Л.С.,Шестаков
749,Эстеров А.,Mixed secondary polytope ,2012,А.,Эстеров
750,Аки А.А.,Улучшенный алгоритм определения расстояния между контигами на основе максимального правдоподобия ,2013,А.А.,Аки
751,Сергушевич А.А.,Улучшенный алгоритм определения расстояния между контигами на основе максимального правдоподобия ,2013,А.А.,Сергушевич
752,Царев Ф.Н.,Улучшенный алгоритм определения расстояния между контигами на основе максимального правдоподобия ,2013,Ф.Н.,Царев
753,Панчин А.Ю.,Контекст зависимый мутагенез у человека и дрозофилы: сравнение ,2013,А.Ю.,Панчин
754,Медведева С.А.,Контекст зависимый мутагенез у человека и дрозофилы: сравнение ,2013,С.А.,Медведева
755,Алексеевский А.В.,Контекст зависимый мутагенез у человека и дрозофилы: сравнение ,2013,А.В.,Алексеевский
756,Спирин С.А.,Контекст зависимый мутагенез у человека и дрозофилы: сравнение ,2013,С.А.,Спирин
757,Панчин Ю.В.,Контекст зависимый мутагенез у человека и дрозофилы: сравнение ,2013,Ю.В.,Панчин
758,Попова С.М.,Структурный подход при исследовании эмоционально – поведенческих нарушений у детей с алалией ,2013,С.М.,Попова
759,Руднева О.В.,Структурный подход при исследовании эмоционально – поведенческих нарушений у детей с алалией ,2013,О.В.,Руднева
760,Лукашевич И.П.,Структурный подход при исследовании эмоционально – поведенческих нарушений у детей с алалией ,2013,И.П.,Лукашевич
761,Алешина Ю.С.,Структурный подход при исследовании эмоционально – поведенческих нарушений у детей с алалией ,2013,Ю.С.,Алешина
762,Миллер А.Б.,Выбор оптимального фильтра в задаче управления траекторией БЛА ,2013,А.Б.,Миллер
763,Миллер Б.М.,Выбор оптимального фильтра в задаче управления траекторией БЛА ,2013,Б.М.,Миллер
764,Степанян К.В.,Выбор оптимального фильтра в задаче управления траекторией БЛА ,2013,К.В.,Степанян
765,Андреев К.В.,Выбор оптимального фильтра в задаче управления траекторией БЛА ,2013,К.В.,Андреев
766,Хорошеньких С.Н.,Выбор оптимального фильтра в задаче управления траекторией БЛА ,2013,С.Н.,Хорошеньких
767,Антонова А.Ю.,Метод условных случайных полей в задачах обработки русскоязычных текстов ,2013,А.Ю.,Антонова
768,Соловьев А.Н.,Метод условных случайных полей в задачах обработки русскоязычных текстов ,2013,А.Н.,Соловьев
769,Арифулов Р.Н.,Опыт эксплуатации центра обработки данных и вычислительного кластера в лаборатории эволюционной геномики ,2013,Р.Н.,Арифулов
770,Науменко С.А.,Опыт эксплуатации центра обработки данных и вычислительного кластера в лаборатории эволюционной геномики ,2013,С.А.,Науменко
771,Артемов А.В.,"Оценка искажения сигнала ChIP-seq, связанного с пространственной укладкой ДНК ",2013,А.В.,Артемов
772,Гельфанд М.С.,"Оценка искажения сигнала ChIP-seq, связанного с пространственной укладкой ДНК ",2013,М.С.,Гельфанд
773,Фаворов А.В.,"Оценка искажения сигнала ChIP-seq, связанного с пространственной укладкой ДНК ",2013,А.В.,Фаворов
774,Миронов А.А.,"Оценка искажения сигнала ChIP-seq, связанного с пространственной укладкой ДНК ",2013,А.А.,Миронов
775,Баранова М.А.,Популяционный анализ высокополиморфного вида Schizophyllum commune ,2013,М.А.,Баранова
776,Базыкин Г.А.,Популяционный анализ высокополиморфного вида Schizophyllum commune ,2013,Г.А.,Базыкин
777,Кондрашов А.С.,Популяционный анализ высокополиморфного вида Schizophyllum commune ,2013,А.С.,Кондрашов
778,Неверов А.Д.,Внутривидовые реассортации вызывают адаптивные аминокислотные замены в генах вируса гриппа H3N2 ,2013,А.Д.,Неверов
779,Лежнина К.В.,Внутривидовые реассортации вызывают адаптивные аминокислотные замены в генах вируса гриппа H3N2 ,2013,К.В.,Лежнина
780,Базыкин Г.А.,Внутривидовые реассортации вызывают адаптивные аминокислотные замены в генах вируса гриппа H3N2 ,2013,Г.А.,Базыкин
781,Кондрашов А.С.,Внутривидовые реассортации вызывают адаптивные аминокислотные замены в генах вируса гриппа H3N2 ,2013,А.С.,Кондрашов
782,Тереханова Н.В.,Геномные паттерны дивергенции в ходе адаптации трёхиглой колюшки к пресной воде ,2013,Н.В.,Тереханова
783,Базыкин Г.А.,Геномные паттерны дивергенции в ходе адаптации трёхиглой колюшки к пресной воде ,2013,Г.А.,Базыкин
784,Кондрашов А.С.,Геномные паттерны дивергенции в ходе адаптации трёхиглой колюшки к пресной воде ,2013,А.С.,Кондрашов
785,Мюге Н.С.,Геномные паттерны дивергенции в ходе адаптации трёхиглой колюшки к пресной воде ,2013,Н.С.,Мюге
786,Сеплярский В.Б.,Рекомбинация сверхполиморфного гриба Schizophyllum commune в высоком разрешении ,2013,В.Б.,Сеплярский
787,Базыкин Г.А.,Рекомбинация сверхполиморфного гриба Schizophyllum commune в высоком разрешении ,2013,Г.А.,Базыкин
788,Кондрашов А.С.,Рекомбинация сверхполиморфного гриба Schizophyllum commune в высоком разрешении ,2013,А.С.,Кондрашов
789,Леушкин Е.В.,Рекомбинация сверхполиморфного гриба Schizophyllum commune в высоком разрешении ,2013,Е.В.,Леушкин
790,Логачева М.Д.,Рекомбинация сверхполиморфного гриба Schizophyllum commune в высоком разрешении ,2013,М.Д.,Логачева
791,Пенин А.,Рекомбинация сверхполиморфного гриба Schizophyllum commune в высоком разрешении ,2013,А.,Пенин
792,Клинк Г.В.,Анализ распространённости эпистатических взаимодействий на основе исследования больших филогений ,2013,Г.В.,Клинк
793,Базыкин Г.А.,Анализ распространённости эпистатических взаимодействий на основе исследования больших филогений ,2013,Г.А.,Базыкин
794,Банков Д.В.,Программа расчета метрики MSE качества переданного по сети видеопотока ,2013,Д.В.,Банков
795,Гущин А.С.,Программа расчета метрики MSE качества переданного по сети видеопотока ,2013,А.С.,Гущин
796,Хоров Е.М.,Программа расчета метрики MSE качества переданного по сети видеопотока ,2013,Е.М.,Хоров
797,Бедринцев А.А.,Представление данных с помощью экстремальных эллипсоидов ,2013,А.А.,Бедринцев
798,Чепыжов В.В.,Представление данных с помощью экстремальных эллипсоидов ,2013,В.В.,Чепыжов
799,Беляев М.Г.,Учет особенностей дизайна эксперимента при решении задач аппроксимации в суррогатном моделировании ,2013,М.Г.,Беляев
800,Бибило Ю.П.,Тау-функция изомонодромной деформации с резонансными иррегулярными особенностями ,2013,Ю.П.,Бибило
801,Большаков А.С.,Создание базы записей движений глаз при просмотре видеоряда для верификации модели внимания ,2013,А.С.,Большаков
802,Федоров А.А,Создание базы записей движений глаз при просмотре видеоряда для верификации модели внимания ,2013,А.А,Федоров
803,Ватолин Д.С.,Создание базы записей движений глаз при просмотре видеоряда для верификации модели внимания ,2013,Д.С.,Ватолин
804,Борисова М.Э.,Выбор эндонуклеазы рестрикции для метода RRBS ,2013,М.Э.,Борисова
805,Танас А.,Выбор эндонуклеазы рестрикции для метода RRBS ,2013,А.,Танас
806,Борисова М.Э.,Механизмы адаптации стрептомицетов к морской среде ,2013,М.Э.,Борисова
807,Малько Д.Б.,Механизмы адаптации стрептомицетов к морской среде ,2013,Д.Б.,Малько
808,Бочкарева О.О.,Эволюционная история внутригеномных рекомбинационных событий в геномах бактерий родов E. coli / Shigella spp. / Salmonella spp ,2013,О.О.,Бочкарева
809,Лопатина Е.В.,Эволюционные процессы в геномах бактерий рода Burkholderia. ,2013,Е.В.,Лопатина
810,Бочкарева О.О.,Эволюционные процессы в геномах бактерий рода Burkholderia. ,2013,О.О.,Бочкарева
811,Булат Л.С.,Модернизированные очки для снятия зрительного утомления ,2013,Л.С.,Булат
812,Панин И.И.,Исследование проблемы построения дизайна эксперимента в задачах анализа чувствительности для квадратичной модели ,2013,И.И.,Панин
813,Бурнаев Е.В.,Исследование проблемы построения дизайна эксперимента в задачах анализа чувствительности для квадратичной модели ,2013,Е.В.,Бурнаев
814,Быкова Н.А.,Скрытые марковские модели в сравнительной геномике ,2013,Н.А.,Быкова
815,Фаворов А.В.,Скрытые марковские модели в сравнительной геномике ,2013,А.В.,Фаворов
816,Миронов А.А.,Скрытые марковские модели в сравнительной геномике ,2013,А.А.,Миронов
817,Виноградов Д.В.,Анализ дифференциальной экспрессии генов вида Fagopyrum tataricum ,2013,Д.В.,Виноградов
818,Логачева М.Д.,Анализ дифференциальной экспрессии генов вида Fagopyrum tataricum ,2013,М.Д.,Логачева
819,Солдатов Р.А.,Поиск локально-оптимальных структурированных участков генома ,2013,Р.А.,Солдатов
820,Виноградова С.В.,Поиск локально-оптимальных структурированных участков генома ,2013,С.В.,Виноградова
821,Миронов А.А.,Поиск локально-оптимальных структурированных участков генома ,2013,А.А.,Миронов
822,Виноградова С.В.,Экспрессия нкРНК HOTAIR и ее роль в модификации хроматина ,2013,С.В.,Виноградова
823,Миронов А.А.,Экспрессия нкРНК HOTAIR и ее роль в модификации хроматина ,2013,А.А.,Миронов
824,Порицкий В.В.,Построение векторной семантической модели на основе русскоязычных текстов: первые эксперименты ,2013,В.В.,Порицкий
825,Волчек О.А.,Построение векторной семантической модели на основе русскоязычных текстов: первые эксперименты ,2013,О.А.,Волчек
826,Гарушянц С.К.,Исследование горизонтальных переносов генов и эволюции архей рода Methanosarcina ,2013,С.К.,Гарушянц
827,Казанов М.Д.,Исследование горизонтальных переносов генов и эволюции архей рода Methanosarcina ,2013,М.Д.,Казанов
828,Гельфанд М.С.,Исследование горизонтальных переносов генов и эволюции архей рода Methanosarcina ,2013,М.С.,Гельфанд
829,Гасников А.В.,Об эффективности использования алгоритма Григориадиса-Хачияна для поиска вектора PageRank в случае разреженной матрицы ,2013,А.В.,Гасников
830,Дмитриев Д.Ю.,Об эффективности использования алгоритма Григориадиса-Хачияна для поиска вектора PageRank в случае разреженной матрицы ,2013,Д.Ю.,Дмитриев
831,Гасников А.В.,Об эффективности использования алгоритма MCMC для поиска вектора PageRank в случае не разреженной матрицы ,2013,А.В.,Гасников
