,author,title,year
428,Сычев А.,Разработка симулятора системного уровня для сетей мобильной связи WCDMA HSUPA ,2011
429,Масленников Р.О.,Разработка симулятора системного уровня для сетей мобильной связи WCDMA HSUPA ,2011
430,Трушанин А.Ю.,Разработка блока эквализации сигнала для приемника цифрового телевидения стандарта DVB-T ,2011
431,Шашанов М.А.,Разработка блока эквализации сигнала для приемника цифрового телевидения стандарта DVB-T ,2011
432,Масленников Р.О.,Разработка блока эквализации сигнала для приемника цифрового телевидения стандарта DVB-T ,2011
433,Фантин Ю.,Анализ сложных хроматограмм популяционного секвенирования ,2011
434,Неверов А.Д.,Анализ сложных хроматограмм популяционного секвенирования ,2011
435,Фаворов А.В.,Анализ сложных хроматограмм популяционного секвенирования ,2011
436,Миронов А.А.,Анализ сложных хроматограмм популяционного секвенирования ,2011
437,Чуланов В.П.,Анализ сложных хроматограмм популяционного секвенирования ,2011
438,Никулова А.А.,CORECLUST: предсказание транскрипционных регуляторных областей и выявление их консервативной структуры ,2011
439,Миронов А.А.,CORECLUST: предсказание транскрипционных регуляторных областей и выявление их консервативной структуры ,2011
440,Фаворов А.В.,CORECLUST: предсказание транскрипционных регуляторных областей и выявление их консервативной структуры ,2011
441,Науменко С.А.,Улучшение референсного генома и получение новых данных о внутривидовом полиморфизме Ciona Savignyi ,2011
442,Некрасов П.О.,Анализ совместного использования проактивного и реактивного способов рассылки сетевой информации в сетях MANET ,2011
443,Сафонов А.А.,Анализ совместного использования проактивного и реактивного способов рассылки сетевой информации в сетях MANET ,2011
444,Хоров Е.М.,Анализ совместного использования проактивного и реактивного способов рассылки сетевой информации в сетях MANET ,2011
445,Платов Д.А.,Методы повышения качества передачи голосовых потоков по меш-сети путем изменения механизма обслуживания пакетов в очереди ,2011
446,Некрасов П.О.,Методы повышения качества передачи голосовых потоков по меш-сети путем изменения механизма обслуживания пакетов в очереди ,2011
447,Хоров Е.М.,Методы повышения качества передачи голосовых потоков по меш-сети путем изменения механизма обслуживания пакетов в очереди ,2011
448,Орлов О.Ю.,"Семантический дрейф в русской лексике, причастной к зрению ",2011
449,Петроченков В.В.,Статистическое разрешение лексической неоднозначности в системе ЭТАП-3 ,2011
450,Толмачева Е.А.,"Действие антагонистов НМДА-рецепторов, кетамина и МК-801, на синхронизованную электрическую активность нейронов в диапазоне гамма (30-80 Гц) у анестезированных крыс ",2011
451,Пино Д.,"Действие антагонистов НМДА-рецепторов, кетамина и МК-801, на синхронизованную электрическую активность нейронов в диапазоне гамма (30-80 Гц) у анестезированных крыс ",2011
452,Сизов В.Г.,Внесение акцентуационной информации в русский морфологический словарь лингвистического процессора ЭТАП-3 ,2011
453,Подлесская О.Ю.,Внесение акцентуационной информации в русский морфологический словарь лингвистического процессора ЭТАП-3 ,2011
454,Поклад П.,Особенности моделирования мехатронных электроприводов с контуром фазовой синхронизации и исследование их точностных характеристик ,2011
455,Филиппова В.Н.,Исследование методов ранжирования изображений автомобилей по критерию схожести ,2011
456,Постников В.В.,Исследование методов ранжирования изображений автомобилей по критерию схожести ,2011
457,Пэш Р.,To transfer or not to transfer - Complementing the eukaryotic protein-protein interactome ,2011
458,Раффлер И.,A genome-wide association study of metabolic traits in human urine ,2011
459,Сухре К.,A genome-wide association study of metabolic traits in human urine ,2011
460,Степанова В.В.,Геномный анализ транскрипционной регуляции метаболизма ароматических аминокислот в гамма-протеобактериях ,2011
461,Родионов Д.А.,Геномный анализ транскрипционной регуляции метаболизма ароматических аминокислот в гамма-протеобактериях ,2011
462,Суворова И.А.,Регуляция метаболизма малоната и пропионата у Протеобактерий ,2011
463,Цитович И.И.,Анализ эффективности управления трафиком Web сервера по данным реального трафика музыкального ресурса ,2011
464,Титов И.,Анализ эффективности управления трафиком Web сервера по данным реального трафика музыкального ресурса ,2011
465,Трефилов М.П.,"Исследование заплетенных сверточных кодов, использующих компонентные сверточные коды минимальной памяти ",2011
466,Федонин Г.Г.,Статистическое предсказание максимумов спектров оптического поглощения родопсинов ,2011
467,Шелякин П.В.,Статистическое предсказание максимумов спектров оптического поглощения родопсинов ,2011
468,Хоров Е.М.,Исследование влияния рассылки биконов на передачу периодического трафика при помощи MCCA в меш-сетях IEEE 802.11s ,2011
469,Яловая Е.А.,Сравнительно-геномный анализ регулона NifA в альфа-протеобактериях ,2011
470,Цой О.В.,Сравнительно-геномный анализ регулона NifA в альфа-протеобактериях ,2011
471,Ялалетдинов А.Д.,Применение процедур снижения размерности к суррогатной модели аэродинамики крыла самолета в задачах оптимизации ,2011
472,Чепыжов В.В.,Применение процедур снижения размерности к суррогатной модели аэродинамики крыла самолета в задачах оптимизации ,2011
473,Чернова С.С.,Применение процедур снижения размерности к суррогатной модели аэродинамики крыла самолета в задачах оптимизации ,2011
474,Червонцева З.С.,Эволюция положения гена фактора транскрипции семейства LacI относительно соседнего регулируемого оперона ,2011
475,Шестаков Л.С.,Помехи в каналах вибрационной коммуникации полужесткокрылых ,2011
476,Якимов М.Ю.,Блочная передача чувствительного к задержкам трафика в беспроводных сетях с резервированием канала в условиях помех ,2011
477,Акопян А.В.,Некоторые обобщения теоремы о Бутерброде ,2012
478,Андреев М.А.,Стабилизация БПЛА на опорной траектории под воздействием внешних атмосферных возмущений ,2012
479,Миллер Б.М.,Стабилизация БПЛА на опорной траектории под воздействием внешних атмосферных возмущений ,2012
480,Степанян К.В.,Стабилизация БПЛА на опорной траектории под воздействием внешних атмосферных возмущений ,2012
481,Миллер А.Б.,Стабилизация БПЛА на опорной траектории под воздействием внешних атмосферных возмущений ,2012
482,Шумилов В.Ю.,Разработка интерфейса между физическим и системным уровнями для моделирования восходящего канала системы мобильной связи LTE-A ,2012
483,Трушанин А.Ю.,Разработка интерфейса между физическим и системным уровнями для моделирования восходящего канала системы мобильной связи LTE-A ,2012
484,Клюев А.Ф.,Разработка интерфейса между физическим и системным уровнями для моделирования восходящего канала системы мобильной связи LTE-A ,2012
485,Ляшков Д.М.,Разработка интерфейса между физическим и системным уровнями для моделирования восходящего канала системы мобильной связи LTE-A ,2012
486,Антипова А.О.,Разработка интерфейса между физическим и системным уровнями для моделирования восходящего канала системы мобильной связи LTE-A ,2012
487,Масленников Р.О.,Разработка интерфейса между физическим и системным уровнями для моделирования восходящего канала системы мобильной связи LTE-A ,2012
488,Арифулов Р.,Опыт создания центра обработки данных и вычислительного кластера для лаборатории эволюционной геномики ,2012
489,Науменко С.А.,Опыт создания центра обработки данных и вычислительного кластера для лаборатории эволюционной геномики ,2012
490,Гоглева А.А.,Состав CRISPR-кассет отражает разнообразие вириомов в микробиоме кишечника человека ,2012
491,Артамонова И.И.,Состав CRISPR-кассет отражает разнообразие вириомов в микробиоме кишечника человека ,2012
492,Давыдов Я.И.,Рибосомный белок L12: копийность и её регуляция ,2012
493,Цой О.В.,Рибосомный белок L12: копийность и её регуляция ,2012
494,Артамонова И.И.,Рибосомный белок L12: копийность и её регуляция ,2012
495,Тоневицкий А.,Рибосомный белок L12: копийность и её регуляция ,2012
496,Артемов А.В.,"Локализация гистоновых модификаций, ассоциированных с выбором альтернативного сайта полиаденилирования ",2012
497,Первухин Д.,"Локализация гистоновых модификаций, ассоциированных с выбором альтернативного сайта полиаденилирования ",2012
498,Фаворов А.В.,"Локализация гистоновых модификаций, ассоциированных с выбором альтернативного сайта полиаденилирования ",2012
499,Миронов А.А.,"Локализация гистоновых модификаций, ассоциированных с выбором альтернативного сайта полиаденилирования ",2012
500,Никулова А.А.,Универсальная Java-платформа для массового анализа данных секвенирования нового поколения ,2012
501,Артемов А.В.,Универсальная Java-платформа для массового анализа данных секвенирования нового поколения ,2012
502,Schmidt T.,Универсальная Java-платформа для массового анализа данных секвенирования нового поколения ,2012
503,Ахмадуллина А.И.,Отбор против аллелей с полной потерей функции в популяции ,2012
504,Базыкин Г.А.,Отбор против аллелей с полной потерей функции в популяции ,2012
505,Тереханова Н.В.,Генетическая изменчивость в геномах Gasterosteus aculeatus; ,2012
506,Базыкин Г.А.,Генетическая изменчивость в геномах Gasterosteus aculeatus; ,2012
507,Кондрашов А.С.,Генетическая изменчивость в геномах Gasterosteus aculeatus; ,2012
508,Мюге Н.С.,Генетическая изменчивость в геномах Gasterosteus aculeatus; ,2012
509,Вахрушева О.А.,"Отрицательный отбор на ортологичные участки геномов, потерявших сходство последовательностей. ",2012
510,Базыкин Г.А.,"Отрицательный отбор на ортологичные участки геномов, потерявших сходство последовательностей. ",2012
511,Кондрашов А.С.,"Отрицательный отбор на ортологичные участки геномов, потерявших сходство последовательностей. ",2012
512,Денисов С.В.,Роль неконсенсусных нуклеотидов в эволюции сайтов сплайсинга: данные по однонуклеотидным полиморфизмам (SNP) и дивергенции ,2012
513,Базыкин Г.А.,Роль неконсенсусных нуклеотидов в эволюции сайтов сплайсинга: данные по однонуклеотидным полиморфизмам (SNP) и дивергенции ,2012
514,Сеплярский В.Б.,Распространенность эпистатических взаимодействий в кодирующих и не кодирующих последовательностях D. melanogaster ,2012
515,Базыкин Г.А.,Распространенность эпистатических взаимодействий в кодирующих и не кодирующих последовательностях D. melanogaster ,2012
516,Кондрашов А.С.,Распространенность эпистатических взаимодействий в кодирующих и не кодирующих последовательностях D. melanogaster ,2012
517,Безматерных П.,Решение задачи линейной регрессии с помощью быстрого преобразования Хафа ,2012
518,Ханипов Т.,Решение задачи линейной регрессии с помощью быстрого преобразования Хафа ,2012
519,Николаев Д.П.,Решение задачи линейной регрессии с помощью быстрого преобразования Хафа ,2012
520,Беломестный Д.В.,Pricing American options by optimization and multi-level Monte-Carlo ,2012
521,Беляев М.Г.,Аппроксимация и интерполяция на основе тензорного произведения параметрических словарей ,2012
522,Беляев М.Г.,Использование аппроксимаций матрицы гессиана функции ошибки при настройке параметров регрессионных моделей ,2012
523,Бурнаев Е.В.,Использование аппроксимаций матрицы гессиана функции ошибки при настройке параметров регрессионных моделей ,2012
524,Любин А.Д.,Использование аппроксимаций матрицы гессиана функции ошибки при настройке параметров регрессионных моделей ,2012
525,Бернштейн А.В.,Снижение размерности в предсказательном моделировании: новые задачи и методы ,2012
526,Ерофеев П.Д.,Сравнительное анализ нелинейных методов восстановления ,2012
527,Бурнаев Е.В.,Сравнительное анализ нелинейных методов восстановления ,2012
528,Бернштейн А.В.,Сравнительное анализ нелинейных методов восстановления ,2012
529,Бибило Ю.П.,Нешлезингеровские деформации линейных меромофрных дифференциальных систем ,2012
530,Богуславский И.М.,Онтология для поддержки задач извлечения смысла из текста на естественном языке ,2012
531,Диконов В.Г.,Онтология для поддержки задач извлечения смысла из текста на естественном языке ,2012
532,Тимошенко С.П.,Онтология для поддержки задач извлечения смысла из текста на естественном языке ,2012
533,Борисова М.Э.,Функциональная аннотация и сравнительный анализ геномов Streptomyces spp ,2012
534,Малько Д.,Функциональная аннотация и сравнительный анализ геномов Streptomyces spp ,2012
535,Бочкарева О.О.,Анализ порядка генов в геномах бактерий и реконструкция геномных перестроек ,2012
536,Латыпов Р.Р.,Вейвлет-фильтрация ионограмм наклонного зондирования и автоматическое определение максимально применимой частоты ,2012
537,Бочкарёв В.В.,Вейвлет-фильтрация ионограмм наклонного зондирования и автоматическое определение максимально применимой частоты ,2012
538,Масленникова Ю.С.,Вейвлет-фильтрация ионограмм наклонного зондирования и автоматическое определение максимально применимой частоты ,2012
539,Загидуллин Б.А.,Синтез панорамных изображений с использованием метода SIFT и кластеризующего слоя Кохонена ,2012
540,Бочкарёв В.В.,Синтез панорамных изображений с использованием метода SIFT и кластеризующего слоя Кохонена ,2012
541,Масленникова Ю.С.,Гибридная нейросетевая модель для предсказания значений проницаемости углеводородных пластов ,2012
542,Бочкарёв В.В.,Гибридная нейросетевая модель для предсказания значений проницаемости углеводородных пластов ,2012
543,Чукалина М.,Вычислительно эффективный вариант алгебраического метода компьютерной томографии ,2012
544,Бузмаков А.,Вычислительно эффективный вариант алгебраического метода компьютерной томографии ,2012
545,Прун В.Е.,Вычислительно эффективный вариант алгебраического метода компьютерной томографии ,2012
546,Булат Л.С.,Устройство для диагностики нарушения цветоощущений ,2012
547,Бурнаев Е.В.,Optimization of Composite Structure based on Surrogate Modeling of Buckling Analysis ,2012
548,Приходько П.В.,Optimization of Composite Structure based on Surrogate Modeling of Buckling Analysis ,2012
549,Панов М.Е.,Сравнительный анализ критериев адаптивного планирования экспериментов на основе гауссовских процессов ,2012
550,Бурнаев Е.В.,Сравнительный анализ критериев адаптивного планирования экспериментов на основе гауссовских процессов ,2012
551,Бурнаев Е.В.,Консолидация разноточных данных на основе гауссовских процессов ,2012
552,Зайцев А.А.,Консолидация разноточных данных на основе гауссовских процессов ,2012
553,Янович Ю.А.,Консолидация разноточных данных на основе гауссовских процессов ,2012
554,Бурнаев Е.В.,Суррогатное моделирование и оптимизация профиля крыла самолета на основе гауссовских процессов ,2012
555,Ерофеев П.Д.,Суррогатное моделирование и оптимизация профиля крыла самолета на основе гауссовских процессов ,2012
556,Зайцев А.А.,Суррогатное моделирование и оптимизация профиля крыла самолета на основе гауссовских процессов ,2012
557,Кононенко Д.С.,Суррогатное моделирование и оптимизация профиля крыла самолета на основе гауссовских процессов ,2012
558,Капушев Е.Р.,Суррогатное моделирование и оптимизация профиля крыла самолета на основе гауссовских процессов ,2012
559,Бурнаев Е.В.,Моделирование нестационарной ковариационной функции в разреженных гауссовских процессах ,2012
560,Янович Ю.А.,Моделирование нестационарной ковариационной функции в разреженных гауссовских процессах ,2012
561,Панов М.Е.,Сравнительный анализ процедур оптимизации на основе гауссовских процессов ,2012
562,Бурнаев Е.В.,Сравнительный анализ процедур оптимизации на основе гауссовских процессов ,2012
563,Коноваленко И.А.,Сравнительный анализ процедур оптимизации на основе гауссовских процессов ,2012
564,Кононенко Д.С.,Сравнительный анализ процедур оптимизации на основе гауссовских процессов ,2012
565,Приходько П.В.,Подходы к оценке размерности в процедуре эффективного снижения размерности на основе гауссовских процессов ,2012
566,Бурнаев Е.В.,Подходы к оценке размерности в процедуре эффективного снижения размерности на основе гауссовских процессов ,2012
567,Опарина Н.Ю.,Семейство цитохромов P450 как модель оценки изменения экологических характеристик в ходе эволюции позвоночных ,2012
568,Жаркова М.,Семейство цитохромов P450 как модель оценки изменения экологических характеристик в ходе эволюции позвоночных ,2012
569,Веселовский А.,Семейство цитохромов P450 как модель оценки изменения экологических характеристик в ходе эволюции позвоночных ,2012
570,Виноградов Д.В.,"Метод поиска геномных локусов, находящихся под отбором на частоту кодона ",2012
571,Миронов А.А.,"Метод поиска геномных локусов, находящихся под отбором на частоту кодона ",2012
572,Виноградова С.В.,Анализ GA-богатых сайтов связывания некодирующей РНК HOTAIR ,2012
573,Миронов А.А.,Анализ GA-богатых сайтов связывания некодирующей РНК HOTAIR ,2012
574,Волк Д.,Interval Translation Maps of Three Intervals ,2012
575,Волчков Д.В.,Анализ сетевой нагрузки в распределенной системе организационного управления ,2012
576,Шарануца В.А.,Анализ сетевой нагрузки в распределенной системе организационного управления ,2012
577,Вьюгин И.В.,Об аддитивных сдвигах мультипликативных подгрупп простого конечного поля ,2012
578,Гарушянц С.К.,Паттерн деградации геномов эндосимбионтов насекомых ,2012
579,Гасников А.В.,Макросистемный подход к моделям ранжирования веб-страниц ,2012
580,Петрашко Д.И.,Макросистемный подход к моделям ранжирования веб-страниц ,2012
581,Гасникова Е.В.,Макросистемный подход к моделям ранжирования веб-страниц ,2012
582,Жаров И.А.,Анализ С-концевых доменов транскрипционных факторов семейства MerR ,2012
583,Гельфанд М.С.,Анализ С-концевых доменов транскрипционных факторов семейства MerR ,2012
584,Коростелёв Ю.Д.,Splicing Differences Between the Humans Brain Transcriptome and those of Chimpanzees and Rhesus Macaques ,2012
585,Гельфанд М.С.,Splicing Differences Between the Humans Brain Transcriptome and those of Chimpanzees and Rhesus Macaques ,2012
586,Хайтович Ф.,Splicing Differences Between the Humans Brain Transcriptome and those of Chimpanzees and Rhesus Macaques ,2012
587,Мазин П.В.,Отличия возрастных паттернов сплайсинга у высших приматов ,2012
588,Хайтович Ф.,Отличия возрастных паттернов сплайсинга у высших приматов ,2012
589,Гельфанд М.С.,Отличия возрастных паттернов сплайсинга у высших приматов ,2012
590,Дерендяев А.Б.,Анализ РСА данных с помощью методов геоинформатики ,2012
591,Гитис В.Г.,Анализ РСА данных с помощью методов геоинформатики ,2012
592,Григорьев А.С.,Система подсчета колесных осей транспортных средств и ее оптимизация с помощью программного пакета NOMAD ,2012
593,Гладков А.,Система подсчета колесных осей транспортных средств и ее оптимизация с помощью программного пакета NOMAD ,2012
594,Николаев Д.П.,Система подсчета колесных осей транспортных средств и ее оптимизация с помощью программного пакета NOMAD ,2012
595,Гладков А.,Использование строковых алгоритмов в задаче классификации автомобильных транспортных средств в видеопотоке ,2012
596,Коптелов И.,Использование строковых алгоритмов в задаче классификации автомобильных транспортных средств в видеопотоке ,2012
597,Голубев Ю.,Splines and stationary Gaussian processes ,2012
598,Крымова Е.А.,Splines and stationary Gaussian processes ,2012
599,Гордиенко Е.Н.,Эволюция бактериальных пангеномов ,2012
600,Жванский Д.С.,Нарушения межконечностных взаимодействий у пациентов после инсульта ,2012
601,Селионов В.А.,Нарушения межконечностных взаимодействий у пациентов после инсульта ,2012
602,Солопова И.А.,Нарушения межконечностных взаимодействий у пациентов после инсульта ,2012
603,Гришин А.А.,Нарушения межконечностных взаимодействий у пациентов после инсульта ,2012
604,Осипов Д.C.,"Система множественного доступа, использующая динамически выделяемые частотные поддиапазоны и пороговый прием, в условиях воздействия полосовых шумовых помех ",2012
605,Грошев Ф.В.,"Система множественного доступа, использующая динамически выделяемые частотные поддиапазоны и пороговый прием, в условиях воздействия полосовых шумовых помех ",2012
606,Гуськов Г.К.,Об одной каскадной конструкции разбиений n-куба на совершенные двоичные коды ,2012
607,Соловьёва Ф.И.,Об одной каскадной конструкции разбиений n-куба на совершенные двоичные коды ,2012
608,Попова С.М.,Комплексный анализ клинических данных при исследовании нарушения кровоснабжения у детей с речевыми синдромами ,2012
609,Данилов А.В.,Комплексный анализ клинических данных при исследовании нарушения кровоснабжения у детей с речевыми синдромами ,2012
610,Диконов В.Г.,Эксперимент по автоматизации определения семантики валентных связей с помощью машинного обучения ,2012
611,Дорн Ю.В.,Введение элементов управления в равновесные модели транспортных потоков ,2012
612,Ермакова Е.О.,Видоспецифичная экспрессия альтернативно сплайсируемых генов плодовых мушек рода Drosophila ,2012
613,Малько Д.,Видоспецифичная экспрессия альтернативно сплайсируемых генов плодовых мушек рода Drosophila ,2012
614,Жилин И.В.,О методах моделирования канала COST 207 ,2012
615,Потапов В.Г.,О методах моделирования канала COST 207 ,2012
616,Жуковский А.Е.,Cинтез обучающей выборки на основе реальных данных в задачах распознавания изображений ,2012
617,Зверков О.А.,"Семейства белков, кодируемых в пластомах Chlorophyta, Euglenozoa и Rhizaria ",2012
618,Селиверстов А.В.,"Семейства белков, кодируемых в пластомах Chlorophyta, Euglenozoa и Rhizaria ",2012
619,Любецкий В.А.,"Семейства белков, кодируемых в пластомах Chlorophyta, Euglenozoa и Rhizaria ",2012
620,Зубанков Д.A.,Алгоритмические аспекты реконструкции CRISPR-кассет ,2012
621,Липнягов А.И.,Алгоритмические аспекты реконструкции CRISPR-кассет ,2012
622,Кобозева И.Г.,Кодирование трехмерными обобщенными кодами с локализацией ошибок ,2012
623,Зяблов В.В.,Кодирование трехмерными обобщенными кодами с локализацией ошибок ,2012
624,Иванов Ф.И.,"Оценка минимальной длины циклов квазициклических регулярных кодов с малой плотностью проверок на четность, основанных на матрицах перестановок ",2012
625,Зяблов В.В.,"Оценка минимальной длины циклов квазициклических регулярных кодов с малой плотностью проверок на четность, основанных на матрицах перестановок ",2012
626,Потапов В.Г.,"Оценка минимальной длины циклов квазициклических регулярных кодов с малой плотностью проверок на четность, основанных на матрицах перестановок ",2012
627,Казенников А.О.,Сравнительный анализ методов сокращения линейных моделей машинного обучения для задач автоматической обработки текстов ,2012
628,Казнадзей А.Д.,"Разнообразие геномных локусов бактериального углеводного метаболизма и паттерны ко-локализации семейств соответствющих белков, принадлежащих разным функциональным классам. ",2012
629,Шелякин П.В.,"Разнообразие геномных локусов бактериального углеводного метаболизма и паттерны ко-локализации семейств соответствющих белков, принадлежащих разным функциональным классам. ",2012
630,Калинина А.С.,Супердеревья пластид хлорофитной ветви водорослей и животных Ecdysozoa ,2012
631,Михайлов К.В.,Супердеревья пластид хлорофитной ветви водорослей и животных Ecdysozoa ,2012
632,Селиверстов А.В.,Супердеревья пластид хлорофитной ветви водорослей и животных Ecdysozoa ,2012
633,Любецкий В.А.,Супердеревья пластид хлорофитной ветви водорослей и животных Ecdysozoa ,2012
634,Капитонов М.А.,Вертикальная стойка и подъем/спуск на ступеньку у детей с ранним детским аутизмом ,2012
635,Максимова Е.М.,Вертикальная стойка и подъем/спуск на ступеньку у детей с ранним детским аутизмом ,2012
636,Талис В.Л.,Вертикальная стойка и подъем/спуск на ступеньку у детей с ранним детским аутизмом ,2012
637,Карпов Д.С.,Дрожжевой транскрипционный регулятор протеасомных генов - Rpn4 является репрессором ТАТА-зависимых генов и активатором ТАТА-независимых генов ,2012
638,Киритченко В.,Convex Geometry and Representation Theory ,2012
639,Сафонов А.А.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012
640,Ляхов А.И.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012
641,Хоров Е.М.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012
642,Кирьянов А.Г.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012
643,Некрасов П.О.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012
644,Платов Д.А.,Протокол многоадресной маршрутизации в беспроводных самоорганизующихся сетях с детерминированным методом доступа ,2012
645,Островский Д.М.,"Сравнение качества соединений, открываемых протоколами MPM и NHDP ",2012
646,Хоров Е.М.,"Сравнение качества соединений, открываемых протоколами MPM и NHDP ",2012
647,Кирьянов А.Г.,"Сравнение качества соединений, открываемых протоколами MPM и NHDP ",2012
648,Ковалевская Д.И.,Системы троек Штейнера малого ранга и совершенные двоичные коды ,2012
649,Соловьёва Ф.И.,Системы троек Штейнера малого ранга и совершенные двоичные коды ,2012
650,Филимонова Е.С.,Системы троек Штейнера малого ранга и совершенные двоичные коды ,2012
651,Комаров Г.А.,Возможный алгебраический подход к изучению задачи 3-SAT ,2012
652,Кононенко Д.С.,Методы аппроксимации обратной ковариационной матрицы для эффективной оптимизации правдоподобия гауссовского процесса ,2012
653,Котов А.А.,Построение устойчивых признаков для алгоритма Виолы и Джонса в задаче классификации транспортных средств ,2012
654,Усилин С.,Построение устойчивых признаков для алгоритма Виолы и Джонса в задаче классификации транспортных средств ,2012
655,Николаев Д.П.,Построение устойчивых признаков для алгоритма Виолы и Джонса в задаче классификации транспортных средств ,2012
656,Котов А.А.,"Прослеживание в видеопотоке объектов, содержащих множество концентрических дуг ",2012
657,Николаев Д.П.,"Прослеживание в видеопотоке объектов, содержащих множество концентрических дуг ",2012
658,Красилов А.Н.,Аналитическая модель взаимодействия механизмов EDCA и MCCA в сетях 802.11s ,2012
659,Ляхов А.И.,Аналитическая модель взаимодействия механизмов EDCA и MCCA в сетях 802.11s ,2012
660,Мороз Ю.И.,Аналитическая модель взаимодействия механизмов EDCA и MCCA в сетях 802.11s ,2012
661,Швец Е.А.,Анализ методов передачи потоковых данных с использованием MCCA ,2012
662,Красилов А.Н.,Анализ методов передачи потоковых данных с использованием MCCA ,2012
663,Крещук А.А.,Некоторые статистические демодуляторы для частотно позиционного кодирования с быстрой перестройкой частот ,2012
